cagr,case,invariance_model,max_dd,max_dd_duration_days,multiplier,n,noise_std,p_cagr_gt_12pct,p_cagr_lt_5pct,p_max_dd_gt_20pct,p_ruin_nav_le_0,return_scale,scale,sharpe,tail_95,tail_99,test,vol_ann,vol_scale,worst_max_dd,worst_nav_end
,slippage_x1,,-1.000000,1,1.0,2,,,,,,,,-11.22497216,-1.00000000,-1.00000000,slippage,11.22497216,,,
,slippage_x2,,-2.000000,1,2.0,2,,,,,,,,-11.22497216,-2.00000000,-2.00000000,slippage,22.44994432,,,
,slippage_x3,,-3.000000,1,3.0,2,,,,,,,,-11.22497216,-3.00000000,-3.00000000,slippage,33.67491648,,,
,base_identity,,-1.000000,1,,2,0.0,,,,,1.0,,-11.22497216,-1.00000000,-1.00000000,perturbation,11.22497216,1.0,,
-1.00000000,lookback_wider_proxy,,-0.940000,1,,2,0.0,,,,,0.90,,-10.09113659,-0.94000000,-0.94000000,perturbation,11.11272244,1.10,,
,lookback_tighter_proxy,,-1.038000,2,,2,0.0,,,,,1.10,,-12.35880773,-1.04000000,-1.04000000,perturbation,11.11272244,0.90,,
-1.00000000,threshold_stricter_proxy,,-0.900000,1,,2,0.0,,,,,0.90,,-11.22497216,-0.90000000,-0.90000000,perturbation,10.10247494,1.00,,
,threshold_looser_proxy,,-1.100000,1,,2,0.0,,,,,1.10,,-11.22497216,-1.10000000,-1.10000000,perturbation,12.34746938,1.00,,
-1.00000000,noise_plus_10bp,,-0.999323,1,,2,0.0010,,,,,1.0,,-11.21381792,-0.99932332,-0.99932332,perturbation,11.22295256,1.0,,
,,returns unchanged (structural check); liquidity impact not modeled here,-1.000000,1,,2,,,,,,,0.5,-11.22497216,,,capital_scaling,11.22497216,,,
,,returns unchanged (structural check); liquidity impact not modeled here,-1.000000,1,,2,,,,,,,2.0,-11.22497216,,,capital_scaling,11.22497216,,,
,,returns unchanged (structural check); liquidity impact not modeled here,-1.000000,1,,2,,,,,,,5.0,-11.22497216,,,capital_scaling,11.22497216,,,
,,,-1.000000,31,,32,,,,,,,,-83.42656029,-1.41421356,-1.41421356,cluster_shock,4.09920956,,,
,,,,,,,,0.000000,0.000000,1.000000,1.000000,,,,,,monte_carlo,,,-1.000000,0E-8
